animeTitle	b'Choujikuu Seiki Orguss'
animeType	b'TV'
animeNumEpisode	35
releaseDate	
endDate	
animeNumMembers	
animeScore	6.49
animeUsers	1012
animeRank	
animePopularity	
animeDescription	"b""In the year 2062, the world's two superpowers are fighting a long and brutal war. In a desperate attempt to win, pilot Kei Katsuragi is given the mission to detonate a super weapon called the Space/Time Oscillation Bomb. The bomb explodes but the results are completely unexpected: a multitude of dimensions, times, and realities are unleashed into the world. Can Kei reverse the effects and bring life back to normal? \n\n(Source: ImaginAsian Entertainment)"""
animeRelated	[b'Choujikuu Seiki Orguss 02', b'Choujikuu Seiki Orguss Memorial']
animeCharacters	[b'Katsuragi, Kei', b'Laaz, Mimsy', b'Verne, Olson', b'Mome', b'Henderson, Athena', b'Thoov, Shaya', b'Jabby', b'Narrator', b'Taii', b'Thoov, Maniisha']
animeVoices	[b'\nHayami, Show\nJapanese\n', b'\nSasaki, Run\nJapanese\n', b'\nSuzuoki, Hirotaka\nJapanese\n', b'\nMiyuki, Sanae\nJapanese\n', b'\nKatsuki, Masako\nJapanese\n', b'\nTakizawa, Kumiko\nJapanese\n', b'\nGinga, Banjou\nJapanese\n', b'\nYara, Yuusaku\nJapanese\n', b'\nIchijou, Miyuki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nIshiguro, Noboru\n\nDirector\n\n', b'\nAkiyama, Katsuhito\n\nEpisode Director\n\n', b'\nMatsuzaki, Kenichi\n\nScript, Series Composition\n\n', b'\nRankin, Casey\n\nTheme Song Composition, Theme Song Performance, Theme Song Arrangement\n\n']
