animeTitle	Ring ni Kakero 1
animeType	TV
animeNumEpisode	12
releaseDate	2004-10-06 00:00:00
endDate	2004-12-15 00:00:00
animeNumMembers	3942
animeScore	6.4
animeUsers	1064
animeRank	6697
animePopularity	7676
animeDescription	"In order to fulfill their dead father's wish, the siblings, Takane Kiku and Takane Ryuji aims for the champopn title of the boxing arena. The sister, Kiku, will act as the trainer while her brother, Ryuji, will concentrate on the role of the boxer and learn the Boomerang. His battle with many rivals has led to the growth and maturity of Ryuji. The junior high boxing tournament has began and Ryuji will be fighting with his arch-rival, Kenzaki Jun. The battle begins.

(Source: ANN)"
animeRelated	['Ring ni Kakero', 'Ring ni Kakero 1: Nichibei Kessen-hen', 'Ring ni Kakero 1 Pilot']
animeCharacters	['Takane, Ryuuji', 'Kenzaki, Jun', 'Takane, Kiku', 'Kawai, Takeshi', 'Katori, Ishimatsu', 'Shaft, Black', 'Shinatora, Kazuki', 'Führer Scorpion']
animeVoices	['Morita, Masakazu', 'Okiayu, Ryoutarou', 'Tanaka, Rie', 'Kamiya, Hiroshi', 'Kusao, Takeshi', 'Koyasu, Takehito', 'Ishikawa, Hideo', 'Midorikawa, Hikaru']
animeStaff	[['Komura, Toshiaki', 'Director'], ['Iwai, Takao', 'Episode Director'], ['Kuroda, Yousuke', 'Script, Series Composition'], ['PSYCHIC LOVER', 'Theme Song Performance']]
