animeTitle	Rich Keikan Cash!
animeType	ONA
animeNumEpisode	Unknown
releaseDate	2021-10-01 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	18148
animeDescription	"The manga follows a police officer named Cash who solves any and all cases with the power of money. The anime will tell new stories that were not in the original manga.

(Source: ANN)"
animeRelated	['Rich Keikan Cash!']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
