animeTitle	Micchiri Neko
animeType	TV
animeNumEpisode	39
releaseDate	
endDate	
animeNumMembers	
animeScore	6.82
animeUsers	2623
animeRank	
animePopularity	5978
animeDescription	"The cute and mysterious cat-like creatures called Mitchiri Neko that seem to gather around each other if you leave them alone now get their own anime with a glorious voice cast! The free and happy-go- lucky Mitchiri Neko’s daily life is filled fluff and surreal laughs! Say it with me, ""Mitchiri! Mitchiri!""

(Source: Crunchyroll)"
animeRelated	['Micchiri Neko', 'Micchiri Neko March', 'Micchiri Wanko! Animation']
animeCharacters	['Piyopiyo', 'Mitchi', 'Ribon', 'Honey', 'Colorful']
animeVoices	['Kamiya, Hiroshi', 'Fukuyama, Jun', 'Hayami, Saori', 'Sakurai, Takahiro', 'Nakamura, Yuuichi']
animeStaff	[['Yatate, Kyou', 'Director'], ['Yamazaki, Shiori', 'Sound Director'], ['Kobayashi, Tetsuya', 'Music']]
