animeTitle	Shuukan Shimakou
animeType	TV
animeNumEpisode	11
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	12715
animeDescription	Shuukan Shimakou is about a life of a Japanese white-collar worker salaryman, Shima Kosaku.
animeRelated	['Kachou Shima Kousaku', 'Sono Toki, Shimakou ga Ugoita!', 'Shuukan Shimakou Special']
animeCharacters	['Shima, Kousaku']
animeVoices	['FROGMAN']
animeStaff	[['FROGMAN', 'Director'], ['Hirokane, Kenshi', 'Original Creator']]
