animeTitle	b'Caribadix'
animeType	b'TV'
animeNumEpisode	46
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'Deeky is a wolf whose wild appearance belies his pure-hearted and slightly gossipy moe nature. Carina is a squirrel whose soft and cuddly appearance hides the black and beating heart of a hard rock monster. Together they form a band to compete in a rock music competition.\n\n(Source: Crunchyroll)'
animeRelated	[b'Caribadix 2nd Season']
animeCharacters	[b'Carina', b'Deeky']
animeVoices	[b'\nDate, Arisa\nJapanese\n', b'\nEguchi, Takuya\nJapanese\n']
animeStaff	[]
