animeTitle	b'Yaoguai Mingdan'
animeType	b'ONA'
animeNumEpisode	18
releaseDate	
endDate	
animeNumMembers	
animeScore	6.89
animeUsers	4126
animeRank	
animePopularity	
animeDescription	b'A foxy temptress. A strange misty tree demon. A girl with the power of the goddess Xianjia! Being caught between these women is a feat in it of itself, but our hero Feng Xi must fight in order to protect the peace and save the world!\n\n(Source: EIH Scans)'
animeRelated	[b'Yaoguai Mingdan', b'Yaoguai Mingdan 2nd Season']
animeCharacters	[b'Su, Jiuer', b'Xi, Feng', b'Guo, Shuang', b'Hehuan', b'Yuan, Long San', b'Wallet God']
animeVoices	[]
animeStaff	[]
