animeTitle	Hi no Tori: Kizuna-hen
animeType	Special
animeNumEpisode	1
releaseDate	2012-06-02 00:00:00
endDate	
animeNumMembers	408
animeScore	
animeUsers	
animeRank	16047
animePopularity	13528
animeDescription	Short movie shown at three locations: Children's Museum Noshiro in Akita Prefecture, Tsukuba Expo Center in Ibaraki Prefecture, and Osaki Lifelong Learning Center in Miyagi Prefecture.
animeRelated	['Hi no Tori']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
