animeTitle	School Rumble: Ichi Gakki Hoshuu
animeType	OVA
animeNumEpisode	2
releaseDate	2005-12-22 00:00:00
endDate	
animeNumMembers	
animeScore	7.74
animeUsers	31179
animeRank	
animePopularity	2389
animeDescription	"This two-part OVA is a series of shorts in relation to the School Rumble series. This OVA fills in gaps with new content between episodes from beginning to nearly the end.

(Source: ANN)"
animeRelated	['School Rumble']
animeCharacters	['Harima, Kenji', 'Sawachika, Eri', 'Tsukamoto, Yakumo', 'Tsukamoto, Tenma', 'Takano, Akira', 'Suou, Mikoto', 'Karasuma, Ouji', 'Imadori, Kyousuke', 'Hanai, Haruki', 'Ichijou, Karen']
animeVoices	['Takahashi, Hiroki', 'Horie, Yui', 'Noto, Mamiko', 'Koshimizu, Ami', 'Shimizu, Kaori', 'Nabatame, Hitomi', 'Konishi, Ryousei', 'Kishio, Daisuke', 'Kawada, Shinji', 'Nanri, Yuuka']
animeStaff	[['Cook, Justin', 'Producer'], ['Takamatsu, Shinji', 'Director'], ['Tanaka, Kazuya', 'Sound Director'], ['Kanasaki, Takaomi', 'Episode Director, Storyboard']]
