animeTitle	Kemurikusa (TV)
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	7.07
animeUsers	7452
animeRank	
animePopularity	3534
animeDescription	"A few young girls with strange powers and a tree that has grown through a railcar cling onto life in a desolate land, searching for its last reservoirs of water. Their routine struggle to survive is interrupted by the arrival of Wakaba, a boy with no memory beyond his own name. 

The girls and their new companion commit to a perilous journey across seas of burning red fog—all in order to find what they need to sustain themselves on the more distant, dangerous islands swarming with robotic bugs. Their ultimate fate will be decided by their own strength, along with Wakaba's curious ability to understand the Kemurikusa: mysterious glowing leaves with wondrous powers. Besides the girls, Wakaba, and the hordes of ravenous bugs, the Kemurikusa are the last sparks of life surviving in this land. How did things end up this way? Why are there so many empty buildings with no one to live in them? Wakaba and the girls lack the answers to these questions, which means the truth can only be found within the Kemurikusa.

[Written by MAL Rewrite]"
animeRelated	['Kemurikusa', 'Donbei x Kemurikusa', 'Kemurikusa (2018)']
animeCharacters	['Rin', 'Ritsu', 'Wakaba', 'Rina', 'Riku', 'Ryoku', 'Ryo']
animeVoices	['Komatsu, Mikako', 'Kiyoto, Arisa', 'Nojima, Kenji', 'Sumi, Tomomi Jiena']
animeStaff	[['Tatsuki', 'Director, Script, Original Creator'], ['nano', 'Theme Song Performance'], ['WEST GROUND', 'Theme Song Composition'], ['Shirouzu, Yuuko', 'Art Director']]
