animeTitle	b'Allargando The Animation'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.35
animeUsers	2434
animeRank	
animePopularity	
animeDescription	b'An-chan who works at a maid masseuse parlor pampers her crush and client Koide-kun exclusively. He might not be the coolest or the most confident like his friend Sataki-kun, but guess which one she loves? School idol Aoyagi cheerfully sells sex tapes starring herself to a socially low-ranked student Nozaki. He wonders why she would sell such things to him and comes to a somewhat grim answer.\n\n(Source: Hentai Heaven)'
animeRelated	[b'Allargando']
animeCharacters	[b'Aoyagi', b'An']
animeVoices	[b'\nSanada, Akane\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nAraki, Hideki\n\nDirector, Storyboard, Animation Director, Character Design\n\n', b'\nSeto, Yuuki\n\nOriginal Creator\n\n']
