animeTitle	Kyouhaku: Owaranai Ashita
animeType	OVA
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	5.79
animeUsers	1003
animeRank	
animePopularity	8523
animeDescription	"Yumiko is a school girl wanting revenge for her best friend recording her being gang-raped. So now she aims to rape every single friend her former best friend ever had.

(Source: ANN)"
animeRelated	['Kyouhaku: Owaranai Ashita', 'Kyouhaku II (Second): Mou Hitotsu no Ashita The Animation', 'Kyouhaku: Owaranai Ashita - Special Stage']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
