animeTitle	b'Shuukan Storyland'
animeType	b'TV'
animeNumEpisode	56
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b""This was an anthology program containing several different anime each week along with some non-animated segments. Several of the animated films were short series including: Nazo no Rouba [\xe8\xac\x8e\xe3\x81\xae\xe8\x80\x81\xe5\xa9\x86] (tvss), Meibugyou Bun-san [\xe5\x90\x8d\xe5\xa5\x89\xe8\xa1\x8c\xe3\x83\xbb\xe6\x96\x87\xe3\x81\x95\xe3\x82\x93], Jo Keibu Jinguuji Youko [\xe5\xa5\xb3\xe8\xad\xa6\xe9\x83\xa8\xe3\x83\xbb\xe7\xa5\x9e\xe5\xae\xae\xe5\xaf\xba\xe8\x91\x89\xe5\xad\x90], Remon Suzumori's Soudanjo [\xe9\x88\xb4\xe6\xa3\xae\xe3\x81\xaa\xe3\x82\x93\xe3\x81\xa7\xe3\x82\x82\xe7\x9b\xb8\xe8\xab\x87\xe6\x89\x80].\n\n(Source: animated-divots.net)"""
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
