animeTitle	Sylvanian Families: Mini Story
animeType	TV
animeNumEpisode	12
releaseDate	2017-10-07 00:00:00
endDate	2017-12-23 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15267
animeDescription	"The story takes place in a village called Sylvania, and centers on Chocolate Usagi-chan, Kurumi Risu-kun, and their friends and families. 

(Source: ANN)"
animeRelated	['Sylvanian Families', 'Sylvanian Families Mini Gekijou: Omoigakenai Okyakusama', 'Sylvanian Families: Mini Story 2nd Season']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
