animeTitle	b'Tsubasa to Hotaru (2015)'
animeType	b'Special'
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	6.39
animeUsers	1409
animeRank	
animePopularity	
animeDescription	"b""Four episodes that will be aired on TV as segments within the children's television program Oha Suta."""
animeRelated	[b'Tsubasa to Hotaru', b'Tsubasa to Hotaru (2016)']
animeCharacters	[b'Hidaka, Aki', b'Sonokawa, Tsubasa', b'Toba, Yuuma', b'Yuri']
animeVoices	[b'\nMatsuoka, Yoshitsugu\nJapanese\n', b'\nItou, Kanae\nJapanese\n', b'\nSakurai, Takahiro\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nHaruta, Nana\n\nOriginal Creator\n\n']
