animeTitle	Time Travel Shoujo: Mari Waka to 8-nin no Kagakusha-tachi
animeType	TV
animeNumEpisode	12
releaseDate	2016-07-09 00:00:00
endDate	2016-09-24 00:00:00
animeNumMembers	15148
animeScore	6.5
animeUsers	4721
animeRank	6159
animePopularity	4492
animeDescription	Time Travel Shoujo is based on a 1983 book titled Jishaku to Denki no Hatsumei Hakken Monogatari by Japanese educator Kiyonobu Itakura. It is part of the Hatsumei Hakken Monogatari Zenshuu series which describes the story of various scientific discoveries and inventions throughout history. The 1983 book focuses on discoveries related to magnetism and electricity.
animeRelated	[]
animeCharacters	['Hayase, Mari', 'Mizuki, Waka', 'Dom Pedro II', 'Franklin, Benjamin', 'Bell, Graham', 'Mizuki, Shun', 'Volta, Alessandro', 'Gilbert, William', 'Mikage, Joe', 'Hertz, Heinrich']
animeVoices	['Toyosaki, Aki', 'Kotobuki, Minako', 'Miki, Shinichiro', 'Maeno, Tomoaki', 'Kijima, Ryuuichi', 'Nakamura, Daiki', 'Ookawa, Tooru', 'Tsuboi, Tomohiro', 'Ishida, Akira']
animeStaff	[['Yamasaki, Osamu', 'Director, Script, Key Animation, Series Composition'], ['Nagasaki, Yukio', 'Sound Director'], ['Kaneko, Yoshiyuki', 'Episode Director, Assistant Director'], ['Hirota, Mitsutaka', 'Script']]
