animeTitle	Chocotan!
animeType	Special
animeNumEpisode	1
releaseDate	2013-03-17 00:00:00
endDate	
animeNumMembers	
animeScore	5.93
animeUsers	2756
animeRank	
animePopularity	6991
animeDescription	"This story is about the dog named Chocotan who has the ability to speak with humans in the human language. Nao, her owner, likes a guy named Arima. Arima has a dog named Hatsupi. On Hatsupi's birthday, Nao makes biscuits that are edible for both dogs and humans. Nao and Chocotan bump into Arima and Hatsupi on the sidewalk and Nao runs away before she can summon the courage to give the biscuits to Arima. Chocotan encourages Nao and she makes up her mind to go back and give the biscuits to Arima. Now then, will she be able to approach Arima while she's not even able to talk casually to him? And how about Chocotan's secret? - The Story about the talking dog and her Owner's clumsy-love-story!

(Source: Huffy Parfait Scans)"
animeRelated	['Chocotan!']
animeCharacters	['Chocotan', 'Hatori, Nao', 'Arima, Yamato', 'Happy']
animeVoices	['Kugimiya, Rie', 'Sakura, Ayane', 'Eguchi, Takuya', 'Tamura, Mutsumi']
animeStaff	[['Takeuchi, Kozue', 'Original Creator'], ['Sakai, Asuka', 'Music']]
