animeTitle	Lupin III: Chi no Kokuin - Eien no Mermaid
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.23
animeUsers	2657
animeRank	
animePopularity	6428
animeDescription	"Two jewels are the key to the ancient treasure of Yaobikuni. But legend has it that the only person who can find the treasure is one who can walk the path of death.

And why is Lupin interested? This is the one treasure his grandfather sought but did not steal.

(Source: AniDB)"
animeRelated	['Lupin III']
animeCharacters	['Lupin III, Arsene', 'Jigen, Daisuke', 'Mine, Fujiko', 'Ishikawa XIII, Goemon', 'Zenigata, Kouichi', 'Himuro', 'Misa', 'Maki', 'Todo, Misae', 'Kageura']
animeVoices	['Kurita, Kanichi', 'Kobayashi, Kiyoshi', 'Sawashiro, Miyuki', 'Namikawa, Daisuke', 'Yamadera, Kouichi', 'Ishida, Akira', 'Shimizu, Risa', 'Shibuya, Haruka', 'Nozawa, Masako', 'Saitou, Shirou']
animeStaff	[['Takiguchi, Teiichi', 'Director, Storyboard'], ['Shimizu, Youji', 'Sound Director'], ['Monkey Punch', 'Original Creator'], ['Satou, Yoshiharu', 'Chief Animation Director, Character Design']]
