animeTitle	Ange Vierge
animeType	TV
animeNumEpisode	12
releaseDate	2016-07-10 00:00:00
endDate	2016-09-25 00:00:00
animeNumMembers	49276
animeScore	6.02
animeUsers	12836
animeRank	8539
animePopularity	2521
animeDescription	"The story of the card game follows what happens when ""Hairou"" portals suddenly open, fusing five different worlds together. As a result, various mysterious ""Exceed"" powers are awakened in teenaged girls. An academy for these so-called ""Progress"" girls is built on the isolated Seiran Island in the Pacific.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Sougetsu, Saya ', 'Elel', 'Almaria', 'Code Ω77 Stella', 'Lapucea, Nya', 'Hinata, Miumi', 'Ayashiro, Amane', 'Code Ω00 Euphiria', 'Code Ω46 Xenia', 'Sanagi, Mayuka']
animeVoices	['Kotobuki, Minako', 'Toyosaki, Aki', 'Hara, Yumi', 'Tachibana, Rika', 'Bridcutt, Sarah Emi', 'Aisaka, Yuuka', 'Tamura, Yukari', 'Takahashi, Rie', 'Hanazawa, Kana', 'Yamamoto, Nozomi']
animeStaff	[['Tamura, Masafumi', 'Director, Character Design'], ['Nagasaki, Yukio', 'Sound Director'], ['Takayama, Katsuhiko', 'Script, Series Composition'], ['Takahashi, Rie', 'Theme Song Performance']]
