animeTitle	Haitoku no Shoujo
animeType	OVA
animeNumEpisode	2
releaseDate	2001-09-18 00:00:00
endDate	2002-01-18 00:00:00
animeNumMembers	3151
animeScore	5.7
animeUsers	1128
animeRank	
animePopularity	8245
animeDescription	"The girls of the Saegusa family are always on the lookout for a new pet to train, and they have plenty of time as their father is usually gone. At the same time they are hiding their own dark family secret.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Saegusa, Yuki']
animeVoices	[]
animeStaff	[]
