animeTitle	b'Parade Parade'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	5.95
animeUsers	1128
animeRank	
animePopularity	
animeDescription	"b""Meet Kaori Shiina. She's beautiful. She's talented. She's a pop idol. However, she has a secret, one which would destroy her career if it were ever revealed..."""
animeRelated	[]
animeCharacters	[b'Shina, Kaori', b'Imai, Yuuko', b'Midorisawa, Saki', b'Tamura, Sayaka']
animeVoices	[b'\nAsada, Yoko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nIwanami, Yoshikazu\n\nSound Director\n\n', b'\nKurata, Hideyuki\n\nScript\n\n', b'\nAsada, Yoko\n\nTheme Song Performance\n\n', b'\nKikuchi, Yasuhito\n\nAnimation Director\n\n']
