animeTitle	"Gyakuten Saiban: Sono ""Shinjitsu"", Igi Ari!"
animeType	TV
animeNumEpisode	24
releaseDate	2016-04-02 00:00:00
endDate	2016-09-24 00:00:00
animeNumMembers	
animeScore	6.47
animeUsers	41168
animeRank	
animePopularity	1425
animeDescription	"Since he was a child, Ryuuichi Naruhodou's dream was to become a defense attorney, protecting the innocent when no one else would. However, when the rookie lawyer finally takes on his first case under the guidance of his mentor Chihiro Ayasato, he realizes that the courtroom is a battlefield. In these fast paced trials, Ryuuichi is forced to think outside the box to uncover the truth of the crimes that have taken place in order to prove the innocence of his clients.

Gyakuten Saiban: Sono ""Shinjitsu"", Igi Ari! follows Ryuuichi as he tackles cases to absolve the falsely accused of the charges they face. It will not be easy—standing in his path is the ruthless Reiji Mitsurugi, a prosecutor who will stop at nothing to hand out guilty verdicts. With his back against the wall, the defense attorney must carefully examine both evidence and witness testimony, sifting through lies to solve the mystery behind each case. With a shout of ""objection!,"" the battle in the courtroom begins!

[Written by MAL Rewrite]"
animeRelated	"['Gyakuten Saiban: Sono ""Shinjitsu"", Igi Ari!', 'Gyakuten Saiban 6 Prologue', 'Gyakuten Saiban: Sono ""Shinjitsu"", Igi Ari! Season 2']"
animeCharacters	['Mitsurugi, Reiji', 'Naruhodou, Ryuuichi', 'Ayasato, Mayoi', 'Karuma, Mei', 'Saibanchou', 'Itonokogiri, Keisuke', 'Ayasato, Chihiro', 'Ayasato, Harumi', 'Yahari, Masashi', 'Karuma, Gou']
animeVoices	['Tamaki, Masashi', 'Kaji, Yuki', 'Yuuki, Aoi', 'Yumiba, Saori', 'Hiura, Ben', 'Iwasaki, Masami', 'Nakamura, Chie', 'Kuno, Misaki', 'Nara, Tooru', 'Ootsuka, Akio']
animeStaff	[['Watanabe, Ayumu', 'Director'], ['Kobayashi, Katsuyoshi', 'Sound Director'], ['Kaneko, Shingo', 'Episode Director'], ['Walker, Tyler', 'Script']]
