animeTitle	Kazama Mana
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.17
animeUsers	2228
animeRank	
animePopularity	6706
animeDescription	"This anime focuses on Kazama Mana, the main character of Yakin Byoto 2. She is an intern works for a sanatorium as an intern nurse. Mana looks up to Nightingale, and she want to be an angel in white like her. But, Mizukawa Wataru, the patient whose days are numbered, says to her that there’s no angel and begins to make her a sex game.

(Source: ANN)"
animeRelated	['Kazama Mana', 'Yakin Byoutou']
animeCharacters	['Kazama, Mana']
animeVoices	['Motoi, Emi']
animeStaff	[['Murakami, Teruaki', 'Director, Storyboard, Animation Director, Key Animation, Character Design'], ['Yatabe, Katsuyoshi', 'Production Coordination'], ['Nozaki, Hiroki', 'Sound Effects'], ['Satou, Hiromu', 'Art Director']]
