animeTitle	Sore Ike! Anpanman: Yuuki no Hana ga Hiraku Toki
animeType	Movie
animeNumEpisode	1
releaseDate	1999-07-24 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15341
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Sore Ike! Anpanman']
animeCharacters	['Anpanman', 'Baikinman', 'Currypanman', 'Cheese', 'Dokin-chan', 'Oji-san, Jam', 'Shokupanman', 'Melonpanna', 'Batako-san', 'Rollpanna']
animeVoices	['Toda, Keiko', 'Nakao, Ryusei', 'Yanagisawa, Michiyo', 'Yamadera, Kouichi', 'Tsuru, Hiromi', 'Masuoka, Hiroshi', 'Shimamoto, Sumi', 'Kanai, Mika', 'Sakuma, Rei', 'Tominaga, Miina']
animeStaff	[['Dreaming', 'Theme Song Performance'], ['Ootani, Kazuo', 'Theme Song Arrangement'], ['Yonemura, Shouji', 'Screenplay'], ['Maeda, Minoru', 'Animation Director, Character Design']]
