animeTitle	Kiki to Lala no Papa to Mama ni Aitai
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14507
animeDescription	This is one of the happiest days for Kiki and Lala as they receive a present sent to them by their parents.
animeRelated	['Kiki to Lala no Aoi Tori', 'Kiki to Lala no Hansel to Gretel', 'Kiki to Lala no Ohimesama ni Naritai', 'Kiki to Lala no Hakuchouza no Ohimesama', 'Kiki to Lala no Hoshi no Dance Shoes']
animeCharacters	['Lala', 'Kiki']
animeVoices	[]
animeStaff	[['Hata, Masami', 'Director, Screenplay']]
