animeTitle	Match Uri no Shoujo
animeType	Movie
animeNumEpisode	1
releaseDate	1971-12-12 00:00:00
endDate	
animeNumMembers	631
animeScore	5.98
animeUsers	264
animeRank	8739
animePopularity	12356
animeDescription	"A little girl tries to sell matches on a cold December night with no luck. To keep from freezing she lights one match and sees a wondrous vision...

This theatrical release was based on a Hans Christian Andersen's story. "
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
