animeTitle	Hortensia Saga (TV)
animeType	TV
animeNumEpisode	12
releaseDate	2021-01-07 00:00:00
endDate	2021-03-25 00:00:00
animeNumMembers	44132
animeScore	5.78
animeUsers	11628
animeRank	9426
animePopularity	2679
animeDescription	"A violent rebellion in the capital led by Duke Rugis Camellia wreaks havoc on the Kingdom of Hortensia, leaving every member of the royalty either dead or missing. Barely escaping with his life, knight Maurice Baudelaire flees the ensuing chaos after his brother, Fernando Albert, is killed by a werewolf in battle. 

To honor his legacy, Maurice treks to Albert's house and delivers his son, Alfred Ober, his father's sword. Despite his grief, Alfred is reminded of a vow he pledged with his father—to become a knight so that he could protect his land, the Albert Dominion. 

Under Maurice's tutelage, Alfred hones his combat skills to fulfill his promise. Training alongside him is Marius Casterede, an intriguing boy whose age seems to be more than meets the eye. Elsewhere, Pope Alexi Valdebron delivers the order to capture the missing princess and crowns Charlot D'Hortensia as the new king. Hortensia Saga is a tale of camaraderie and determination as Alfred, Marius, and Maurice work together with friends of past and present to bring forth light amidst Hortensia's dark times.

[Written by MAL Rewrite]"
animeRelated	['Hortensia Saga']
animeCharacters	['Ober, Alfred', 'Casterede, Marius', 'Danois, Deflotte', 'Baudelaire, Maurice', 'Valdebron, Alexi', 'Ober, Bernadetta', 'Olivier, Adelhied', 'Foly, Nonnoria', 'Vialdo, Didier', 'Bashro, Roy']
animeVoices	['Hosoya, Yoshimasa', 'Horie, Yui', 'Umehara, Yuuichirou', 'Tsuda, Kenjirou', 'Horie, Kazuma', 'Ootsubo, Yuka', 'Kobayashi, Yuu', 'Ueda, Reina', 'Ikeda, Shuuichi', 'Eguchi, Takuya']
animeStaff	[['Satou, Yoshiki', 'Producer'], ['Nishikata, Yasuto', 'Director'], ['Seki, Tomohiro', 'Sound Director'], ['Horie, Yui', 'Theme Song Performance']]
