animeTitle	Anime Tenchou x Touhou Project
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.68
animeUsers	1829
animeRank	
animePopularity	4649
animeDescription	A collaboration anime project of Anime Tenchou and Touhou animated by ufotable. The anime was shown at the 2010 Animate Ichioshi Bishojo Anime Matsuri.
animeRelated	['Anime Tenchou', 'Anime Tenchou Movie', 'Touhou Niji Sousaku Doujin Anime: Musou Kakyou', 'Hifuu Katsudou Kiroku: The Sealed Esoteric History']
animeCharacters	['Hakurei, Reimu', 'Kirisame, Marisa', 'Scarlet, Flandre', 'Anizawa, Meito', 'Mizuhashi, Parsee', 'Yakumo, Yukari', 'Komeiji, Koishi', 'Reiuji, Utsuho', 'Komeiji, Satori', 'Inubashiri, Momiji']
animeVoices	[]
animeStaff	[['ZUN', 'Original Creator'], ['Shimamoto, Kazuhiko', 'Original Creator']]
