animeTitle	Shukufuku no Campanella Specials
animeType	Special
animeNumEpisode	6
releaseDate	2010-09-22 00:00:00
endDate	2011-02-24 00:00:00
animeNumMembers	3873
animeScore	5.86
animeUsers	1458
animeRank	9183
animePopularity	7718
animeDescription	"Short extra anime ""Isshoni Bath Time"". The main characters taking a bath will be displayed three dimensionally on 3D TV. Normal 2D versions are also available."
animeRelated	['Shukufuku no Campanella']
animeCharacters	['Boulange, Agnes', 'Arcot, Chelsea', 'Tortilla, Ritos', 'Verritti, Carina', 'Minette', 'Tortilla, Salsa']
animeVoices	[]
animeStaff	[['Fujita, Mariko', 'Character Design']]
