animeTitle	Kangoku Senkan
animeType	OVA
animeNumEpisode	4
releaseDate	2009-05-23 00:00:00
endDate	2010-12-30 00:00:00
animeNumMembers	
animeScore	6.92
animeUsers	3397
animeRank	
animePopularity	5513
animeDescription	"Lieri Bishop, an up-and-coming New Solars Commander and her aide, Major Naomi Evans board a battleship to earth to report the Neo Terrors' crimes to the Universal Federeation. The captain of the ship who is of the Neo Terrors, Donny Bogan, has had a grudge on them since four years ago when they had sabotaged a kidnapping mission on earth and got him arrested. So he has his chance and brainwashes them. Now when the lights change in the battleship, their personalities switches to one that suits the crew and thats when the ""sexual"" party begins...
"
animeRelated	['Kangoku Senkan: Hidou no Sennou Kaizou Koukai']
animeCharacters	['Evans, Naomi', 'Bishop, Lieri', 'Bogan, Donny']
animeVoices	['Hirata, Hiromi', 'Nakajima, Saki']
animeStaff	[['Murakami, Teruaki', 'Director, Theme Song Arrangement, Character Design, Key Animation, Animation Director, Series Composition, In-Between Animation'], ['Yoshida, Tomohiro', 'Sound Director'], ['Sawayama, Shinichiro', 'Script, Screenplay'], ['Lilith Soft', 'Original Creator']]
