animeTitle	3x3 Eyes: Seima Densetsu
animeType	OVA
animeNumEpisode	3
releaseDate	1995-07-25 00:00:00
endDate	1996-06-25 00:00:00
animeNumMembers	13092
animeScore	6.94
animeUsers	6624
animeRank	4003
animePopularity	4738
animeDescription	Yakumo has trained and searched for 4 years, following Pai's mysterious disappearance. However, when he finally finds her, not all is well as her memory seems to be gone. They attempt to return her memory by going to the Holy Land, birthplace of the immortal race of Sanjiyans.
animeRelated	['3x3 Eyes']
animeCharacters	['Pai', 'Fujii, Yakumo', 'IV, Parvati', 'Benares', 'Tinzin']
animeVoices	['Hayashibara, Megumi', 'Tsujitani, Kouji', 'Ootsuka, Akio', 'Saikachi, Ryuuji']
animeStaff	[['Watanabe, Shigeru', 'Producer'], ['Sayama, Kiyoko', 'Director'], ['Takenouchi, Kazuhisa', 'Director, Storyboard'], ['Kakudou, Hiroyuki', 'Storyboard']]
