animeTitle	Crash!
animeType	Special
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	5.44
animeUsers	541
animeRank	
animePopularity	9898
animeDescription	Three episodes aired on TV as part of the Ribon x Oha Suta specials. 
animeRelated	['Crash!']
animeCharacters	['Shiraboshi, Hana', 'Shinozuka, Rei', 'Midorikawa, Kazuhiko', 'Aoyagi, Yugo']
animeVoices	[]
animeStaff	[['Nomizu, Iori', 'Theme Song Performance'], ['Fujiwara, Yuka', 'Original Creator']]
