animeTitle	Kono Danshi, Uchuujin to Tatakaemasu.
animeType	OVA
animeNumEpisode	1
releaseDate	2011-10-10 00:00:00
endDate	
animeNumMembers	24260
animeScore	6.81
animeUsers	10994
animeRank	4599
animePopularity	3658
animeDescription	"All hope seems lost when the world is suddenly invaded by aliens. Earth's only defense is a small three-person team known as the Special Counter-Aliens Task Force, consisting of an anonymous director, the tyrannical Shiro, and the easygoing Arikawa.

The luck of the Task Force improves when Arikawa finds a teenage boy lying alone on a hill. The boy, Kakashi, is humanity's only hope—he has power previously unbeknownst capable of defeating the aliens! However, without any memories and with no knowledge on how to use his power, Kakashi is left clinging to Arikawa and Shiro as well as the only remnant of his previous life: his broken cellphone.

Kakashi is conflicted by the fears and emotions clouding his mind and he calls his own motivations into question. Can he overcome his doubts and internal struggles and save the world? 

[Written by MAL Rewrite]
"
animeRelated	['Kono Danshi, Ningyo Hiroimashita.', 'Kono Danshi, Sekka ni Nayandemasu.', 'Kono Danshi, Mahou ga Oshigoto Desu.']
animeCharacters	['Kakashi', 'Arikawa', 'Shiro', 'Haruka', 'Toru', 'Yamamura']
animeVoices	['Kimura, Ryouhei', 'Toyonaga, Toshiyuki', 'Hirakawa, Daisuke', 'Hayami, Hideyuki', 'Han, Megumi', 'Shimozuma, Yoshiyuki']
animeStaff	[['Yamamoto, Soubi', 'Director'], ['Shikata, Akiko', 'Theme Song Performance'], ['Ledford, John', 'Executive Producer'], ['Williams, Janice', 'ADR Director']]
