animeTitle	b'Bokura no Live Kimi to no Life'
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.08
animeUsers	8887
animeRank	
animePopularity	
animeDescription	b'Love Live! School idol project. DVD bundled with the debut CD single of the fan-voted idol project.\n\n(Source: AniDB)'
animeRelated	"[b'Snow Halation', b'Natsu-iro Egao de 1, 2, Jump!', b'Mogyutto ""Love"" de Sekkinchuu!', b'Wonderful Rush', b'Music S.T.A.R.T!!', b'Love Live! School Idol Project']"
animeCharacters	[b'Nishikino, Maki', b'Yazawa, Niko', b'Toujou, Nozomi', b'Minami, Kotori', b'Sonoda, Umi', b'Kousaka, Honoka', b'Hoshizora, Rin', b'Ayase, Eri', b'Koizumi, Hanayo']
animeVoices	[b'\nPile\nJapanese\n', b'\nTokui, Sora\nJapanese\n', b'\nKusuda, Aina\nJapanese\n', b'\nUchida, Aya\nJapanese\n', b'\nMimori, Suzuko\nJapanese\n', b'\nNitta, Emi\nJapanese\n', b'\nIida, Riho\nJapanese\n', b'\nNanjou, Yoshino\nJapanese\n', b'\nKubo, Yurika\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKyougoku, Takahiko\n\nDirector, Episode Director, Storyboard\n\n', b'\nAketagawa, Jin\n\nSound Director\n\n', b'\nMimori, Suzuko\n\nTheme Song Performance\n\n', b'\nNanjou, Yoshino\n\nTheme Song Performance\n\n']
