animeTitle	b'Futari wa Milky Holmes'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	5.8
animeUsers	3520
animeRank	
animePopularity	
animeDescription	"b'Fans of the Milky Holmes detectives, Kazumi and Alice, decide to form their own detective unit, calling themselves ""Feathers.""\n\n(Source: ANN)'"
animeRelated	[b'Tantei Opera Milky Holmes Dai 2 Maku', b'Tantei Kageki Milky Holmes TD']
animeCharacters	[b'Shellingford, Sherlock', b'Burton, Hercule', b'Glauca, Cordelia', b'Yuzurizaki, Nero', b'Myoujingawa, Alice', b'Tokiwa, Kazumi', b'Akechi, Kokoro', b'Tooyama, Saku', b'Mystere, Henriette', b'Kobayashi, Opera']
animeVoices	[b'\nMimori, Suzuko\nJapanese\n', b'\nSasaki, Mikoi\nJapanese\n', b'\nKitta, Izumi\nJapanese\n', b'\nTokui, Sora\nJapanese\n', b'\nItou, Ayasa\nJapanese\n', b'\nTerakawa, Aimi\nJapanese\n', b'\nNanjou, Yoshino\nJapanese\n', b'\nTamura, Yukari\nJapanese\n', b'\nAkesaka, Satomi\nJapanese\n', b'\nMorishima, Shuuta\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nNishikiori, Hiroshi\n\nDirector\n\n', b'\nHamano, Takatoshi\n\nSound Director\n\n', b'\nAikawa, Shou\n\nScript\n\n', b'\nYasukawa, Shougo\n\nScript\n\n']
