animeTitle	Shinkyoku Soukai Polyphonica Crimson S
animeType	TV
animeNumEpisode	12
releaseDate	2009-04-05 00:00:00
endDate	2009-06-21 00:00:00
animeNumMembers	23063
animeScore	7.17
animeUsers	8115
animeRank	3003
animePopularity	3746
animeDescription	"The new series will again focus on Corticarte, but it will tie into Ichiro Sakaki and Noboru Kannatsuki's Shinkyoku Sōkai Polyphonica crimson S light novel adaptation, which are set during the Academy years of the storyline. 

(Source: ANN)"
animeRelated	['Shinkyoku Soukai Polyphonica Crimson S', 'Shinkyoku Soukai Polyphonica']
animeCharacters	['Apa Lagranges, Corticarte', 'Tatara, Phoron', 'Yugiri, Prinesca', 'Yugiri, Perserte', 'Shidara, Leitos', 'Mizeldorido', 'Psyche, Renbart', 'Tsuge, Eufinley']
animeVoices	['Tomatsu, Haruka', 'Kamiya, Hiroshi', 'Satou, Rina', 'Mizuki, Nana', 'Hayami, Show', 'Nonaka, Ai', 'Konishi, Katsuyuki', 'Kawasumi, Ayako']
animeStaff	[['Satomi, Tetsurou', 'Producer'], ['Suzuki, Toshimasa', 'Director, Episode Director, Storyboard'], ['Aketagawa, Jin', 'Sound Director'], ['Ueda, Shigeru', 'Episode Director']]
