animeTitle	Hifuu Katsudou Kiroku: The Sealed Esoteric History
animeType	OVA
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	7.21
animeUsers	649
animeRank	
animePopularity	6476
animeDescription	"Based on Team Shanghai Alice's Touhou Project.

History revolves around the many events in the lives of two students from the Outside World - Maribel Hearn and Renko Usami. They are the only members of the ""Hifuu Club Activity Record"" who are looking for those hidden worlds as Gensokyo, the Netherworld and the Moon.

(Source: AniDB)"
animeRelated	['Touhou Niji Sousaku Doujin Anime: Musou Kakyou', 'Anime Tenchou x Touhou Project']
animeCharacters	['Usami, Renko', 'Hearn, Maribel', 'Hakurei, Reimu', 'Kirisame, Marisa', 'Yakumo, Yukari', 'Saigyouji, Yuyuko', 'Ibuki, Suika', 'Moriya, Suwako', 'Kochiya, Sanae', 'Houraisan, Kaguya']
animeVoices	['Kitamura, Eri', 'Hanazawa, Kana', 'Imai, Asami', 'Asumi, Kana', 'Inoue, Kikuko', 'Kayano, Ai', 'Shimizu, Ai', 'Iguchi, Yuka', 'Touyama, Nao', 'Noto, Mamiko']
animeStaff	[['ZUN', 'Original Creator']]
