animeTitle	Idol Land PriPara
animeType	ONA
animeNumEpisode	Unknown
releaseDate	2021-08-18 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	11772
animeDescription	"Tie-in anime linked to the ""Idol Land PriPara"" smartphone game.

Episode 1 was streamed in advance during the ""PIA LIVE STREAM"" event on August 18, 2021. Regular broadcasting began in spring 2022."
animeRelated	['PriPara']
animeCharacters	['Manaka, Laala', 'Yumekawa, Yui', 'Yumekawa, Shougo', 'Katasumi, Amari', 'Mario']
animeVoices	['Date, Arisa', 'Yamashita, Seiichirou', 'Iida, Riho', 'Tachibana, Tatsumaru']
animeStaff	[]
