animeTitle	Shin Minashigo Hutch
animeType	TV
animeNumEpisode	26
releaseDate	1974-04-05 00:00:00
endDate	1974-09-27 00:00:00
animeNumMembers	698
animeScore	6.23
animeUsers	240
animeRank	7525
animePopularity	12075
animeDescription	The sequel to Konchuu Monogatari Minashigo Hutch where Hutch struggles with married life.
animeRelated	['Konchuu Monogatari Minashigo Hutch']
animeCharacters	['Hutch']
animeVoices	[]
animeStaff	[['Watanabe, Chuumei', 'Theme Song Composition, Theme Song Arrangement'], ['Shimazaki, Yuri', 'Theme Song Performance'], ['Wakabayashi, Ichirou', 'Theme Song Lyrics']]
