animeTitle	Sore Ike! Anpanman: Kaiketsu Naganegiman to Doremi Hime
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14552
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Sore Ike! Anpanman']
animeCharacters	['Anpanman', 'Baikinman', 'Dokin-chan', 'Oji-san, Jam', 'Doremi-hime']
animeVoices	['Toda, Keiko', 'Nakao, Ryusei', 'Tsuru, Hiromi', 'Masuoka, Hiroshi']
animeStaff	[['Shinohara, Toshiya', 'Director'], ['van Beethoven, Ludwig', 'Music'], ['Bach, Johann Sebastian', 'Music'], ['Suga, Yoshiyuki', 'Screenplay']]
