animeTitle	Houkago no Ouji-sama
animeType	Special
animeNumEpisode	5
releaseDate	2014-10-29 00:00:00
endDate	2015-06-26 00:00:00
animeNumMembers	2692
animeScore	6.9
animeUsers	669
animeRank	4185
animePopularity	8689
animeDescription	Flash anime specials bundled with the New Prince of Tennis OVA.
animeRelated	['Houkago no Ouji-sama', 'Tennis no Ouji-sama', 'Shin Tennis no Ouji-sama OVA vs. Genius 10']
animeCharacters	['Echizen, Ryouma', 'Fuji, Shuusuke', 'Tezuka, Kunimitsu', 'Kikumaru, Eiji', 'Kaidou, Kaoru', 'Momoshiro, Takeshi', 'Inui, Sadaharu', 'Oishi, Shuichiro', 'Atobe, Keigo', 'Kirihara, Akaya']
animeVoices	['Minagawa, Junko', 'Kaida, Yuki', 'Okiayu, Ryoutarou', 'Takahashi, Hiroki', 'Onosaka, Masaya', 'Kondou, Takayuki', 'Suwabe, Junichi', 'Morikubo, Shoutarou']
animeStaff	[['Konomi, Takeshi', 'Original Creator'], ['Sakura, Kenichi', 'Original Character Design']]
