animeTitle	Bounty Dog: Getsumen no Ibu
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	5.55
animeUsers	1306
animeRank	
animePopularity	8167
animeDescription	In the future, mankind has colonized the bleak expanses of the moon. Cities now stand proudly where there was once only desolation and emptiness. But there are alien forces that do not want mankind to succeed and only one man can stop them. He is a member of the Bounty Dog Investigation Unit, a high-tech cybernetic mercenary team.
animeRelated	[]
animeCharacters	['Uzuki, Shoko', 'Ines', 'Otomo, Yoshiyuki', 'Okina, Yayoi', 'Mimura, Kei']
animeVoices	['Hayashibara, Megumi', 'Shiina, Hekiru', 'Hiyama, Nobuyuki', 'Neya, Michiko', 'Midorikawa, Hikaru']
animeStaff	[['Negishi, Hiroshi', 'Director'], ['Sekijima, Mayori', 'Script'], ['Wolskel, John', 'Script'], ['Kasumi', 'Theme Song Performance']]
