animeTitle	Energy Kyouka!!
animeType	OVA
animeNumEpisode	2
releaseDate	2016-04-08 00:00:00
endDate	2016-06-10 00:00:00
animeNumMembers	16280
animeScore	6.87
animeUsers	7453
animeRank	
animePopularity	4392
animeDescription	"Kyouka Shiraishi is a beautiful and lively high school student. Thanks to a well-developed body and seductive nature, no man is able to resist her allure. One day, she finds herself in dire need of cash to pay off her cell phone bills. Without a quick way to find a substantial amount of money, she decides to make use of her natural gifts—and there is no better place to do so than her own school.

Shiraishi is soon caught with her pants down by the student committee. However, Reona Houjou, the committee president, is ready to turn a blind eye to her misbehavior in exchange for a favor. Unaware of what that entails, Shiraishi eagerly agrees in order to get off the hook. As she finds herself blackmailed into working part-time in a gentlemen's club run by Reona's mother, she is left with no choice but to dive headlong into this new world of perverse pleasure. 

[Written by MAL Rewrite]"
animeRelated	['Energy Kyouka!!']
animeCharacters	['Shiraishi, Kyouka', 'Houjou, Reona', 'Houjou, Erina', 'Mochizuki, Karin', 'Kouzouji, Shun']
animeVoices	['Sachi, Yun']
animeStaff	[['Sakai, Keishi', 'Key Animation']]
