animeTitle	Kumo ni Noru
animeType	OVA
animeNumEpisode	2
releaseDate	1991-03-08 00:00:00
endDate	1991-06-07 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	13895
animeDescription	"In a Buddhist heaven where saints fight over turf in the clouds, Nio-maru searches for the younger sister torn from him in an aircraft accident back in the human world. 

(Source: The Anime Encyclopedia)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
