animeTitle	Yamatarou Kaeru
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.99
animeUsers	429
animeRank	
animePopularity	11468
animeDescription	"After having lost his parents, Yamatarou, a bear, is raised by a man. Yamatarou's friend is Shi-roku, a steam locomotive, and Yamatarou learns to impersonate the whistle of the locomotive. This is a story for nursery school kids about the friendship between the bear and the steam locomotive. The quality pictures render a sense of warmth to the reader.

(Source: ANN)"
animeRelated	['Lion Books', 'Amefuri Kozou', 'Adachi-ga Hara', 'Midori no Neko', 'Akuemon', 'Lunn wa Kaze no Naka']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
