animeTitle	Mahou Shoujo Meruru
animeType	OVA
animeNumEpisode	2
releaseDate	1997-01-21 00:00:00
endDate	1998-04-25 00:00:00
animeNumMembers	2063
animeScore	5.59
animeUsers	711
animeRank	
animePopularity	9346
animeDescription	"A newly trained young sorceress name Meruru gets lost in the forest in the middle of the training, and has numerous lurid encounters with unsavory characters and lustful beasts. When aroused, Meruru attains the state of ultimate ecstasy and unleashes an explosive power from within.

(Source: Wikipedia)"
animeRelated	[]
animeCharacters	['Sheckle, Meruru', 'Ogre', 'The TepiTepies', 'Bolboj', 'Liao', 'Frenieple', 'Luna', 'Tia']
animeVoices	[]
animeStaff	[['Koike, Ahiru', 'Director'], ['Watanabe, Akio', 'Character Design'], ['Iida, Hiroyoshi', 'Original Character Design']]
