animeTitle	Busou Chuugakusei: Basket Army
animeType	ONA
animeNumEpisode	5
releaseDate	2011-12-22 00:00:00
endDate	2012-12-20 00:00:00
animeNumMembers	6184
animeScore	5.72
animeUsers	2342
animeRank	9663
animePopularity	6422
animeDescription	The story is set in August of 2026 at the Fuji Training Facility. Natori Touko, a third-year middle school student in the Eastern Private Defense Academy, is entrenched in field training with instructor Kamiya. It has been a harsh training regiment, but it is finally the last day. Kamiya proposes a extracurricular class under the name Newest Weapons Research. But then, an incident occurs that rocks all of Japan.
animeRelated	['Busou Chuugakusei: Basket Army']
animeCharacters	['Takatsu, Youji', 'Yoshino, Satoshi', 'Matsuura, Ann', 'Kurobe, Kazuki', 'Tsurumi, Tarou', 'Natori, Touko', 'Kanou, Nanami', 'Senami, Hikari']
animeVoices	['Muro, Genki', 'Furukawa, Makoto', 'Hirata, Mana', 'Kaji, Yuki', 'Odagaki, Yuta', 'Koshimizu, Ami', 'Mimori, Suzuko', 'Touyama, Nao']
animeStaff	[['Kameyama, Toshiki', 'Sound Director'], ['Kawai, Kenji', 'Music'], ['Satou, Yuuko', 'Color Design']]
