animeTitle	Kigurumikku V3
animeType	ONA
animeNumEpisode	3
releaseDate	2009-04-05 00:00:00
endDate	2009-07-16 00:00:00
animeNumMembers	
animeScore	5.24
animeUsers	784
animeRank	
animePopularity	9596
animeDescription	"The high spirited girls Azuki Edomae, Mutsumi Mutsuki and Serika Shihodo, put on their ""KIGURUMI""costumes instantly transforming them into the super heros Kigurumikku-Swan, Kigurumikku-Falcon and Kigurumikku-Swallow. Follow these super-girls as they defend Minamachi City and bring peace to the town."
animeRelated	[]
animeCharacters	['Edomae, Azuki', 'Shingetsu, Nanami', 'Shihoudou, Serika', 'Shingetsu, Mutsumi']
animeVoices	['Tomatsu, Haruka', 'Inoue, Kumiko', 'Koyama, Kimiko', 'Iguchi, Yuka']
animeStaff	[['Saitou, Hisashi', 'Director, Storyboard, Character Design'], ['Aketagawa, Jin', 'Sound Director'], ['Hirasawa, Atsushi', 'Theme Song Composition, Theme Song Arrangement, Music']]
