animeTitle	Hajimete no Orusuban
animeType	OVA
animeNumEpisode	Unknown
releaseDate	2020-12-04 00:00:00
endDate	
animeNumMembers	3301
animeScore	6.12
animeUsers	1356
animeRank	
animePopularity	8132
animeDescription	"On a cold winter's night, a man finds two girls—Saori and Shiori Mizuki—seemingly lost in front of his apartment. Since then, the twins have gradually become attached to him, with one staying at his place while the other is at school. However, the sisters' relationship with him is not merely that of a babysitter and child because sometimes more mature events occur.

[Written by MAL Rewrite]"
animeRelated	['Hajimete no Orusuban']
animeCharacters	['Mizuki, Saori', 'Mizuki, Shiori']
animeVoices	[]
animeStaff	[]
