animeTitle	B-gata H-kei
animeType	TV
animeNumEpisode	12
releaseDate	2010-04-02 00:00:00
endDate	2010-06-18 00:00:00
animeNumMembers	
animeScore	6.9
animeUsers	195232
animeRank	
animePopularity	481
animeDescription	"Most people, including the girl herself, would say that first year high school student Yamada is beautiful and perfect. Despite this, she is working towards a peculiar goal: to have sex with one hundred men by the end of high school.

Trying to put some sense into her head, Yamada's best friend, Miharu Takeshita, points out a major flaw in that plan—she is completely inexperienced with men. However, the reason behind this is that Yamada thinks her lady parts look strange and believes others will judge her for it. As a result, Yamada decides that her first time must be with a fellow virgin, since they will not hurt or scare her. After a fateful encounter, she sets her sights on the shy and average Takashi Kosuda, an aspiring photographer with a heart of gold. 

With contending rivals for his affection and her own raging hormones, Yamada must find ways to seduce Kosuda and take his cherry. However, as she gets closer to Kosuda, she finds herself increasingly enjoying their time spent together.

[Written by MAL Rewrite]"
animeRelated	['B-gata H-kei']
animeCharacters	['Yamada', 'Kosuda, Takashi', 'Yamada no Ero-gami', 'Kosuda no Ero-gami', 'Takeshita, Miharu', 'Misato, Mami', 'Miyano, Mayu', 'Kanejou, Kyouka', 'Kanejou, Keiichi', 'Yamada, Chika']
animeVoices	['Tamura, Yukari', 'Abe, Atsushi', 'Shishido, Rumi', 'Horie, Yui', 'Iwasaki, Megumi', 'Hanazawa, Kana', 'Kobayashi, Yuu', 'Maeno, Tomoaki', 'Shimoda, Asami']
animeStaff	[['Yamamoto, Yuusuke', 'Director, Episode Director, Storyboard'], ['Shioya, Yoku', 'Sound Director'], ['Takahashi, Yukio', 'Episode Director'], ['Ishii, Hisashi', 'Episode Director, Storyboard, Key Animation']]
