animeTitle	Mini Yuri
animeType	ONA
animeNumEpisode	4
releaseDate	2019-09-25 00:00:00
endDate	2019-10-16 00:00:00
animeNumMembers	
animeScore	6.73
animeUsers	3416
animeRank	
animePopularity	5642
animeDescription	"Mini Yuri is a four-episode series with a runtime of 5 minutes per episode. The short anime was realeased online and features mini characters.

(Source: MAL News)"
animeRelated	['Yuru Yuri', 'Yuru Yuri,']
animeCharacters	['Toshinou, Kyouko', 'Akaza, Akari', 'Funami, Yui', 'Yoshikawa, Chinatsu', 'Sugiura, Ayano', 'Oomuro, Sakurako', 'Ikeda, Chitose', 'Furutani, Himawari', 'Matsumoto, Rise', 'Ikeda, Chizuru']
animeVoices	['Ootsubo, Yuka', 'Mikami, Shiori', 'Tsuda, Minami', 'Ookubo, Rumi', 'Fujita, Saki', 'Katou, Emiri', 'Toyosaki, Aki', 'Mimori, Suzuko']
animeStaff	[['Miyajima, Seiya', 'Director'], ['Ebina, Yasunori', 'Sound Director'], ['Takahiro', 'Script'], ['Namori', 'Original Creator']]
