animeTitle	Ultraviolet: Code 044
animeType	TV
animeNumEpisode	12
releaseDate	2008-07-01 00:00:00
endDate	2008-09-16 00:00:00
animeNumMembers	
animeScore	5.88
animeUsers	1029
animeRank	
animePopularity	6448
animeDescription	"044 becomes the strongest female soldier excelling in combat through gene manipulation using a virus. However, in exchange for her abilities, her days become numbered. The next mission of the government is to destroy a bloodthirsty squad, Phage, and its leader King. In her battle, she encounters a Phage soldier, Luka, and finds herself unable to kill him. She wonders why, but as a result, Daxus Jr., the leader of the government group, regards her as a traitor. She is targeted by both Phage and the government, and she runs away with the injured Luka.

(Source: ANN)"
animeRelated	[]
animeCharacters	['044', 'Bloom, Luka', 'Sakuza', 'Garcia', 'Matilda', 'Bounty Hunter', '724', 'Burke, Inspector', 'King', 'Daxus II']
animeVoices	['Park, Romi', 'Seki, Tomokazu', 'Ootsuka, Akio', 'Horiuchi, Kenyuu', 'Yamagata, Kaori', 'Yao, Kazuki', 'Fujiwara, Keiji', 'Yasuhara, Yoshito', 'Hazama, Michio', 'Koyama, Rikiya']
animeStaff	[['Dezaki, Osamu', 'Director, Script, Storyboard'], ['Becca', 'Theme Song Performance'], ['Sugino, Akio', 'Animation Director, Chief Animation Director, Character Design'], ['Ishii, Kazuhiko', 'Key Animation']]
