animeTitle	Hero Company
animeType	OVA
animeNumEpisode	2
releaseDate	2015-10-05 00:00:00
endDate	
animeNumMembers	801
animeScore	
animeUsers	
animeRank	16038
animePopularity	11716
animeDescription	"""A hero"" is a job that in the face of danger and adversity or from a position of weakness, display courage and the will for self-sacrifice. Would you like to work as such a hero in our company? You may transform, manipulate a huge robot or fight as a squad. Shall we realize your dream in our ""Hero Company""?!

(Source: MU) "
animeRelated	['Hero Company']
animeCharacters	['Hyuuga, Hikaru', 'Kiba, Kihan', 'Tsurugi, Saki', 'Busou, Shun', 'Hadou, Daichi', 'Amano, Ginga', 'Amano, Mother', 'Valentine, Kakao']
animeVoices	['Fuchigami, Mai', 'Konishi, Katsuyuki', 'Lynn', 'Namikawa, Daisuke', 'Sugita, Tomokazu', 'Irino, Miyu', 'Inoue, Kikuko', 'Seki, Tomokazu']
animeStaff	[['Shirahata, Nobuo', 'Director'], ['Hirota, Mitsutaka', 'Script'], ['Shimamoto, Kazuhiko', 'Original Creator'], ['Tagashira, Shinobu', 'Character Design']]
