animeTitle	Betterman
animeType	TV
animeNumEpisode	26
releaseDate	1999-04-02 00:00:00
endDate	1999-10-01 00:00:00
animeNumMembers	
animeScore	6.59
animeUsers	3431
animeRank	
animePopularity	4769
animeDescription	"A deadly virus known as ""Algernon"" has attacked humanity with vicious meaning. At the forefront of the battle is the mystifying Akamatsu Industries—disguised as a heavy machine factory in Tokyo, this undercover organization uses neural enhanced weapons known as NeuroNoids to battle Algernon. Also helping with their secret efforts is the mysterious mutant who is only known as ""Betterman.""

(Source: ANN)"
animeRelated	['Betterman', 'Yuusha-Ou GaoGaiGar Final Grand Glorious Gathering']
animeCharacters	['Betterman, Lamia', 'Sai, Hinoki', 'Aono, Keita', 'Sakura', 'Yanagi, Shou', 'Chandy', 'Kurenai, Kaede', 'Akamatsu, Shigeru', 'Asami, Miyako', 'Bodaiju']
animeVoices	['Koyasu, Takehito', 'Hikami, Kyouko', 'Yamaguchi, Kappei', 'Iwao, Junko', 'Miki, Shinichiro', 'Kuwashima, Houko', 'Minaguchi, Yuko', 'Chafurin', 'Yao, Kazuki']
animeStaff	[['Sasaki, Shirou', 'Producer'], ['Kobayashi, Shinichirou', 'Producer'], ['Kouchiyama, Takashi', 'Assistant Producer'], ['Yonetani, Yoshitomo', 'Director, Episode Director, Storyboard, Theme Song Lyrics, Theme Song Performance, Theme Song Composition, Original Creator, Planning']]
