animeTitle	Kara no Shoujo
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	5.64
animeUsers	2150
animeRank	
animePopularity	6342
animeDescription	"Reiji is a private detective. One day, he receives a strange offer from a girl, ""Please look for... me. True me."" At that time, a series of abnormal murder cases happen and Reiji is offered to investigate it as well. There is a girls' high school Yukari, Reiji's younger sister, goes and two female students are missing. Tokio, vice principal of the school, offers Reiji to search for them. As a result, Reiji receives three offers at the same time. To collect information, he starts working at the school in disguise and meets Toko, who asked him to look for real her before. ""Hi, nice to see you again, sir."" The killing never stops.... A spiral of tragedy.... What breaks through this tragic condition might be a girl's smile.... 

(Source: Himeya Shop) "
animeRelated	[]
animeCharacters	['Kuchiki, Touko', 'Tokisaka, Reiji', 'Tokisaka, Yukari', 'Tsukishima, Orihime', 'Yosomiya, Tsuzuriko', 'Mizuhara, Toko', 'Takashiro, Natsume', 'Stella, Maris', 'Hazuki, Kyoko', 'Uozumi, Kyozo']
animeVoices	['Aji, Sanma', 'Suwabe, Junichi', 'Mizusawa, Kei', 'Yoshida, Miumi', 'Tanaka, Ryouko', 'Yasuda, Mio', 'Kawaragi, Shiho']
animeStaff	[['Shimotsuki, Haruka', 'Theme Song Performance'], ['Innocent Grey', 'Original Creator'], ['Ishihara, Keiji', 'Character Design, Chief Animation Director']]
