animeTitle	Cap Kakumei Bottleman
animeType	ONA
animeNumEpisode	25
releaseDate	2020-10-09 00:00:00
endDate	2021-02-05 00:00:00
animeNumMembers	447
animeScore	
animeUsers	
animeRank	15109
animePopularity	13248
animeDescription	"The anime centers around a boy named Kouta Kouka (Kouka Kouta in Japanese name order, an apparent wordplay on Coca-Cola). Kouta strives to be the world's best Bottle King at the Bottle Battles in the virtual Drink World. He comes across his Bottleman partner Colamaru and then wages battles with various rivals.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Ooi, Goemon', 'Hokari, Ryou', 'Kouka, Kouta', 'Jajjina, Momo', 'Jajjina, Natsu', 'Hokari, Suezou', 'Minezaki, Hanta']
animeVoices	['Fukuhara, Katsumi', 'KENN', 'Hirata, Mana', 'Yuuki, Hikaru', 'Matsui, Eriko', 'Kuroda, Takaya', 'Iwasaki, Ryouta']
animeStaff	[]
