animeTitle	Inumarudashi
animeType	TV
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	5.22
animeUsers	136
animeRank	
animePopularity	12177
animeDescription	Comedy at a kindergarten. Inumaru-kun is a four-year old boy, who runs about the kindergarten naked below the waist. Yamada Tamako is a new nursery teacher and she is struggling with Inumaru's weird behaviour.
animeRelated	['Inumarudashi']
animeCharacters	['Yamada, Tamako', 'Inumaru']
animeVoices	['Kondo, Haruna', 'Kobayashi, Yuu']
animeStaff	[['Daichi, Akitarou', 'Episode Director']]
