animeTitle	Tsukuyomi: Moon Phase Special
animeType	Special
animeNumEpisode	1
releaseDate	2006-02-22 00:00:00
endDate	
animeNumMembers	11012
animeScore	6.64
animeUsers	5709
animeRank	5407
animePopularity	5106
animeDescription	"Omake Special from the final DVD volume. The Special storyline has very little to do with the original series outside of having some of the same characters, and has a completely different storyline which does not fit into anything which came before it.

(Source: AniDB)"
animeRelated	['Tsukuyomi: Moon Phase']
animeCharacters	['Hazuki', 'Morioka, Kouhei', 'Midou, Seiji', 'Artemis', 'Haiji', 'Elfriede', 'Midou, Ryuuhei', 'Anzai, Hiromi']
animeVoices	['Saitou, Chiwa']
animeStaff	[['Shinbou, Akiyuki', 'Director'], ['Tamura, Koutarou', 'Episode Director'], ['Fukunaga, Gen', 'Executive Producer'], ['Arima, Keitarou', 'Original Creator']]
