animeTitle	Wake Up, Girls! no Miyagi PR Yarasete Kudasai!
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.09
animeUsers	549
animeRank	
animePopularity	9360
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Wake Up, Girls! Seishun no Kage', 'Wake Up, Girls! Beyond the Bottom']
animeCharacters	['Shimada, Mayu', 'Okamoto, Miyu', 'Katayama, Minami', 'Nanase, Yoshino', 'Kikuma, Kaya', 'Hisami, Nanami', 'Hayashida, Airi', 'Tange, Junko', 'Matsuda, Kouhei', 'Mori, Minase']
animeVoices	['Yoshioka, Mayu', 'Takagi, Miyu', 'Tanaka, Minami', 'Aoyama, Yoshino', 'Okuno, Kaya', 'Yamashita, Nanami', 'Eino, Airi', 'Hidaka, Noriko', 'Asanuma, Shintaro']
animeStaff	[['Yamamoto, Yutaka', 'Director, Script'], ['Yamazaki, Yuuta', 'Director, Episode Director, Storyboard'], ['Kikuta, Hiromi', 'Sound Director'], ['Kousaki, Satoru', 'Music']]
