animeTitle	b'Ai Tenchi Muyou!'
animeType	b'TV'
animeNumEpisode	50
releaseDate	
endDate	
animeNumMembers	
animeScore	6.17
animeUsers	8543
animeRank	
animePopularity	
animeDescription	b'The franchise is celebrating its 20th anniversary with this new project.\n\nNote: The recap episodes are not included in the main episode count, and are now included here.'
animeRelated	[b'Ai Tenchi Muyou!', b'Tenchi Muyou! Ryououki', b'Ai Tenchi Muyou! Recaps']
animeCharacters	[b'Masaki, Tenchi', b'Kawanagare, Momo', b'Kinojou, Beni', b'Hakubi, Ryouko', b'Hakubi, Washuu', b'Masaki, Sasami Jurai', b'Masaki, Aeka Jurai', b'Kuramitsu, Mihoshi', b'Saryuu, Hana', b'Fuka, Yuki']
animeVoices	[b'\nKikuchi, Masami\nJapanese\n', b'\nTouyama, Nao\nJapanese\n', b'\nTaichi, You\nJapanese\n', b'\nOrikasa, Ai\nJapanese\n', b'\nKobayashi, Yuko\nJapanese\n', b'\nYokoyama, Chisa\nJapanese\n', b'\nNanao, Haruhi\nJapanese\n', b'\nMizutani, Yuuko\nJapanese\n', b'\nIchimichi, Mao\nJapanese\n', b'\nSatou, Azusa\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nInoue, Hiroaki\n\nProducer\n\n', b'\nNegishi, Hiroshi\n\nDirector\n\n', b'\nKikuchi, Kouichi\n\nSound Director\n\n', b'\nUtsunomiya, Masamitsu\n\nEpisode Director, Editing\n\n']
