animeTitle	Dorami-chan: A Blue Straw Hat
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14345
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	[]
animeCharacters	['Dorami']
animeVoices	[]
animeStaff	[['Shiramine, Mitsuko', 'Theme Song Lyrics'], ['Matsuda, Akihiko', 'Sound Effects'], ['Hayashi, Shizuka', 'Key Animation'], ['Sasaki, Masakatsu', 'Key Animation']]
