animeTitle	Tonikaku Kawaii: SNS
animeType	OVA
animeNumEpisode	1
releaseDate	2021-08-18 00:00:00
endDate	
animeNumMembers	83980
animeScore	8.14
animeUsers	37099
animeRank	387
animePopularity	1827
animeDescription	"When Nasa is called in to work suddenly, Tsukasa faces her first night alone since they married.  Struck with loneliness, she takes ahold of the smartphone that Nasa gave her as a gift. Even when apart, they remain connected at the heart. 

(Source: Crunchyroll)"
animeRelated	['Tonikaku Kawaii']
animeCharacters	['Yuzaki, Tsukasa', 'Yuzaki, Nasa', 'Arisugawa, Kaname', 'Arisugawa, Aya', 'Kaginoji, Chitose']
animeVoices	['Kitou, Akari', 'Enoki, Junya', 'Serizawa, Yuu', 'Uesaka, Sumire', 'Kohara, Konomi']
animeStaff	[['Ikehata, Hiroshi', 'Director'], ['Motoyama, Satoshi', 'Sound Director'], ['Hata, Kenjirou', 'Original Creator'], ['Shibutani, Yukihiro', 'Background Art, Art Director']]
