animeTitle	Teeter
animeType	Music
animeNumEpisode	2
releaseDate	2018-07-02 00:00:00
endDate	2019-01-16 00:00:00
animeNumMembers	270
animeScore	6.1
animeUsers	120
animeRank	8188
animePopularity	14977
animeDescription	"Keina Suda's 1st EP titled ""teeter"" will have a limited edition release bundled with a DVD that contains 2 animated items on December 16, 2019. First is the official music video for mock animated by Avogado6 (a short version was also released on Suda's official YouTube channel). Second is the official music video for Dolly animated by Avogado6  (it was also released on Suda's official YouTube channel)."
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
