animeTitle	Muramata-san no Himitsu
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.51
animeUsers	2975
animeRank	
animePopularity	6377
animeDescription	"The kind-spirited Muramata holds a secret that no one at her workplace knows. Following yet another mistake made by her subordinate Kaji, the two head off from work to spend a stress-free night out drinking. Due to their usual lounge being closed for the night, at Muramata's suggestion, the office pair head over to her apartment.

While in the comfort of her own home, Muramata reveals to Kaji her ""youthful foolishness,"" and the two discover the pleasures that Muramata's secret holds. Wrapped in lust, the duo inch closer towards realizing how powerful a connection can be made through a shared confidence. Can Kaji keep this classified information between the two of them, or will word spread around the office like wildfire?

[Written by MAL Rewrite]"
animeRelated	['Muramata-san no Himitsu']
animeCharacters	['Muramata']
animeVoices	[]
animeStaff	[]
